business_service_id,business_service_name,business_unit,service_tier,customer_facing,annual_revenue_supported_eur,rto_hours,rpo_hours,regulatory_scope,executive_owner
BS000001,Enterprise Reporting Service 0001,Commercial Banking,Tier 3,True,11022413.55,72,24.0,HIPAA,EVP Commercial Banking
BS000002,Global Reporting Service 0002,Security,Tier 1,False,137969255.16,4,1.0,DORA,EVP Security
BS000003,Regulated Policy Service 0003,Digital Channels,Tier 1,False,66714242.13,4,1.0,SOX,EVP Digital Channels
BS000004,Digital Data Service 0004,HR,Tier 1,False,32786553.06,4,1.0,NIS2;GDPR;DORA,EVP HR
BS000005,Critical Data Service 0005,HR,Tier 2,False,10776421.29,24,8.0,GDPR;Internal Audit;PCI-DSS,EVP HR
BS000006,Shared Data Service 0006,Infrastructure,Tier 2,False,11110976.79,24,8.0,PCI-DSS;GDPR;HIPAA,EVP Infrastructure
BS000007,Critical Payments Service 0007,Commercial Banking,Tier 3,False,25661981.02,72,24.0,PCI-DSS;HIPAA;SOX,EVP Commercial Banking
BS000008,Operational Trading Service 0008,Digital Channels,Tier 2,False,34024315.23,24,8.0,SOX,EVP Digital Channels
BS000009,Core Trading Service 0009,Payments,Tier 2,True,6593670.58,24,8.0,NIS2;SOX,EVP Payments
BS000010,Enterprise Payments Service 0010,Commercial Banking,Tier 3,False,18627114.22,72,24.0,HIPAA;DORA;PCI-DSS,EVP Commercial Banking
BS000011,Regulated Settlement Service 0011,Supply Chain,Tier 3,True,1914981.41,72,24.0,GDPR,EVP Supply Chain
BS000012,Digital Trading Service 0012,M&A Office,Tier 1,False,40656603.46,4,1.0,DORA,EVP M&A Office
BS000013,Customer Warehouse Service 0013,Data & Analytics,Tier 2,False,41382314.69,24,8.0,NIS2,EVP Data & Analytics
BS000014,Operational Settlement Service 0014,Data & Analytics,Tier 2,False,13149897.35,24,8.0,DORA;HIPAA;SOX,EVP Data & Analytics
BS000015,Customer Fulfilment Service 0015,Data & Analytics,Tier 1,False,237568452.43,4,1.0,DORA,EVP Data & Analytics
BS000016,Enterprise Workforce Service 0016,Security,Tier 1,False,12218043.26,4,1.0,SOX,EVP Security
BS000017,Core Portal Service 0017,Supply Chain,Tier 3,True,22729733.17,72,24.0,GDPR;PCI-DSS,EVP Supply Chain
BS000018,Regulated Procurement Service 0018,Insurance,Tier 2,False,17202973.05,24,8.0,Operational Resilience;Internal Audit;SOX,EVP Insurance
BS000019,Shared Procurement Service 0019,Infrastructure,Tier 2,False,16025192.38,24,8.0,Internal Audit,EVP Infrastructure
BS000020,Core Reporting Service 0020,HR,Tier 3,True,15779869.69,72,24.0,Internal Audit;HIPAA,EVP HR
BS000021,Operational Compliance Service 0021,Supply Chain,Tier 2,True,20131886.98,24,8.0,Internal Audit;DORA;GDPR,EVP Supply Chain
BS000022,Regulated Procurement Service 0022,Risk,Tier 3,False,45478698.88,72,24.0,SOX;GDPR,EVP Risk
BS000023,Regulated Workforce Service 0023,Payments,Tier 3,False,81450811.81,72,24.0,Internal Audit;HIPAA;DORA,EVP Payments
BS000024,Critical Reporting Service 0024,Legal,Tier 2,False,17850190.37,24,8.0,DORA;Internal Audit;NIS2,EVP Legal
BS000025,Regulated Warehouse Service 0025,Security,Tier 2,True,43874668.29,24,8.0,DORA,EVP Security
BS000026,Global Payments Service 0026,Customer Operations,Tier 3,False,8269266.42,72,24.0,Internal Audit,EVP Customer Operations
BS000027,Enterprise Workforce Service 0027,Risk,Tier 2,True,41555938.7,24,8.0,HIPAA;SOX;PCI-DSS,EVP Risk
BS000028,Critical Procurement Service 0028,Security,Tier 3,False,7739203.43,72,24.0,SOX;GDPR,EVP Security
BS000029,Shared Compliance Service 0029,Manufacturing,Tier 1,False,106911569.2,4,1.0,HIPAA,EVP Manufacturing
BS000030,Digital Procurement Service 0030,HR,Tier 3,True,203607558.28,72,24.0,Operational Resilience;DORA;Internal Audit,EVP HR
BS000031,Shared Procurement Service 0031,HR,Tier 2,True,15645716.37,24,8.0,DORA,EVP HR
BS000032,Regulated Treasury Service 0032,Payments,Tier 1,True,2887751.77,4,1.0,Internal Audit;HIPAA;GDPR,EVP Payments
BS000033,Shared Procurement Service 0033,Commercial Banking,Tier 2,False,9792425.86,24,8.0,PCI-DSS;NIS2,EVP Commercial Banking
BS000034,Shared Ledger Service 0034,Manufacturing,Tier 2,False,69376770.31,24,8.0,GDPR;DORA;Operational Resilience,EVP Manufacturing
BS000035,Enterprise Settlement Service 0035,Legal,Tier 0,False,115081074.57,1,0.25,NIS2;DORA,EVP Legal
BS000036,Global Payments Service 0036,Commercial Banking,Tier 2,True,23530428.2,24,8.0,HIPAA;NIS2,EVP Commercial Banking
BS000037,Shared Claims Service 0037,Infrastructure,Tier 3,True,54272878.86,72,24.0,NIS2,EVP Infrastructure
BS000038,Critical Trading Service 0038,Infrastructure,Tier 1,False,54881421.79,4,1.0,NIS2;GDPR,EVP Infrastructure
BS000039,Digital Portal Service 0039,Wealth,Tier 2,False,68305285.37,24,8.0,SOX;PCI-DSS,EVP Wealth
BS000040,Shared Warehouse Service 0040,Customer Operations,Tier 2,False,49198123.69,24,8.0,Operational Resilience;PCI-DSS;NIS2,EVP Customer Operations
BS000041,Operational Claims Service 0041,Insurance,Tier 2,False,95426845.67,24,8.0,GDPR;NIS2;PCI-DSS,EVP Insurance
BS000042,Regional Risk Service 0042,Data & Analytics,Tier 3,True,26553594.76,72,24.0,SOX;Operational Resilience;HIPAA,EVP Data & Analytics
BS000043,Regulated Ledger Service 0043,Digital Channels,Tier 3,False,48437523.08,72,24.0,PCI-DSS,EVP Digital Channels
BS000044,Global Compliance Service 0044,Risk,Tier 1,True,22975681.41,4,1.0,GDPR;PCI-DSS;SOX,EVP Risk
BS000045,Regulated Ledger Service 0045,Commercial Banking,Tier 3,False,9233909.74,72,24.0,Internal Audit;DORA,EVP Commercial Banking
BS000046,Enterprise Reporting Service 0046,M&A Office,Tier 3,False,116971913.04,72,24.0,GDPR,EVP M&A Office
BS000047,Global Customer Service 0047,HR,Tier 1,False,40857943.21,4,1.0,SOX,EVP HR
BS000048,Digital Reporting Service 0048,Legal,Tier 3,False,43373908.1,72,24.0,GDPR,EVP Legal
BS000049,Digital Trading Service 0049,Digital Channels,Tier 1,False,36906589.89,4,1.0,Internal Audit;SOX,EVP Digital Channels
BS000050,Regional Portal Service 0050,Security,Tier 3,False,9386966.89,72,24.0,PCI-DSS;NIS2,EVP Security
BS000051,Global Settlement Service 0051,Data & Analytics,Tier 2,False,18111926.14,24,8.0,GDPR;Operational Resilience;NIS2,EVP Data & Analytics
BS000052,Regional Compliance Service 0052,Payments,Tier 2,True,86841347.47,24,8.0,DORA;SOX;GDPR,EVP Payments
BS000053,Regulated Workforce Service 0053,Risk,Tier 1,True,59325556.84,4,1.0,PCI-DSS;GDPR,EVP Risk
BS000054,Global Portal Service 0054,HR,Tier 3,False,2723366.96,72,24.0,GDPR;DORA,EVP HR
BS000055,Enterprise Fulfilment Service 0055,Supply Chain,Tier 0,False,49426341.37,1,0.25,Internal Audit,EVP Supply Chain
BS000056,Digital Treasury Service 0056,Retail Banking,Tier 1,True,228788793.52,4,1.0,DORA;Operational Resilience,EVP Retail Banking
BS000057,Customer Settlement Service 0057,Manufacturing,Tier 1,False,25459769.99,4,1.0,NIS2,EVP Manufacturing
BS000058,Operational Billing Service 0058,Insurance,Tier 3,True,2469369.56,72,24.0,HIPAA;SOX,EVP Insurance
BS000059,Digital Billing Service 0059,Data & Analytics,Tier 1,True,258431296.46,4,1.0,DORA;HIPAA,EVP Data & Analytics
BS000060,Critical Billing Service 0060,Digital Channels,Tier 3,False,37906446.99,72,24.0,SOX;GDPR,EVP Digital Channels
BS000061,Critical Risk Service 0061,Legal,Tier 2,False,16568036.01,24,8.0,GDPR,EVP Legal
BS000062,Operational Treasury Service 0062,Data & Analytics,Tier 0,False,41624665.04,1,0.25,Operational Resilience,EVP Data & Analytics
BS000063,Core Treasury Service 0063,Risk,Tier 0,False,205992453.24,1,0.25,Operational Resilience;HIPAA,EVP Risk
BS000064,Global Workforce Service 0064,M&A Office,Tier 0,False,34503841.65,1,0.25,NIS2;PCI-DSS,EVP M&A Office
BS000065,Digital Reporting Service 0065,Risk,Tier 2,False,63280138.3,24,8.0,Internal Audit;SOX;Operational Resilience,EVP Risk
BS000066,Operational Pricing Service 0066,Finance,Tier 3,False,32489087.26,72,24.0,GDPR,EVP Finance
BS000067,Enterprise Compliance Service 0067,Legal,Tier 1,False,42158074.21,4,1.0,HIPAA;GDPR;DORA,EVP Legal
BS000068,Digital Settlement Service 0068,Risk,Tier 3,False,21000699.11,72,24.0,DORA;NIS2,EVP Risk
BS000069,Digital Workforce Service 0069,Commercial Banking,Tier 0,False,51665361.68,1,0.25,Operational Resilience;HIPAA;DORA,EVP Commercial Banking
BS000070,Critical Fulfilment Service 0070,HR,Tier 3,False,56525596.69,72,24.0,HIPAA,EVP HR
BS000071,Regional Customer Service 0071,Security,Tier 3,True,6907531.42,72,24.0,Operational Resilience;PCI-DSS,EVP Security
BS000072,Regulated Trading Service 0072,Payments,Tier 3,False,3005283.19,72,24.0,HIPAA;SOX,EVP Payments
BS000073,Regional Treasury Service 0073,HR,Tier 2,True,35176335.77,24,8.0,Operational Resilience;DORA,EVP HR
BS000074,Enterprise Treasury Service 0074,Insurance,Tier 3,True,35832367.42,72,24.0,Internal Audit;PCI-DSS;GDPR,EVP Insurance
BS000075,Regulated Compliance Service 0075,Digital Channels,Tier 0,True,106220559.06,1,0.25,SOX;HIPAA;DORA,EVP Digital Channels
BS000076,Shared Portal Service 0076,Supply Chain,Tier 1,True,50439636.95,4,1.0,PCI-DSS;DORA;SOX,EVP Supply Chain
BS000077,Regulated Billing Service 0077,Finance,Tier 1,True,22639172.24,4,1.0,PCI-DSS;GDPR,EVP Finance
BS000078,Core Customer Service 0078,Payments,Tier 2,True,42551725.94,24,8.0,PCI-DSS;DORA,EVP Payments
BS000079,Critical Workforce Service 0079,Manufacturing,Tier 3,False,17019768.18,72,24.0,Internal Audit;Operational Resilience;DORA,EVP Manufacturing
BS000080,Core Risk Service 0080,Digital Channels,Tier 2,False,10471575.86,24,8.0,GDPR;Internal Audit,EVP Digital Channels
BS000081,Global Workforce Service 0081,Legal,Tier 3,True,12697549.2,72,24.0,SOX,EVP Legal
BS000082,Shared Reporting Service 0082,HR,Tier 1,False,297370779.37,4,1.0,NIS2;GDPR,EVP HR
BS000083,Enterprise Trading Service 0083,Insurance,Tier 3,False,2653861.51,72,24.0,DORA;Operational Resilience;Internal Audit,EVP Insurance
BS000084,Critical Warehouse Service 0084,Infrastructure,Tier 1,True,55815020.71,4,1.0,HIPAA;Internal Audit,EVP Infrastructure
BS000085,Customer Customer Service 0085,Customer Operations,Tier 1,True,5079712.36,4,1.0,PCI-DSS,EVP Customer Operations
BS000086,Enterprise Customer Service 0086,Digital Channels,Tier 2,False,15885913.45,24,8.0,SOX;HIPAA;NIS2,EVP Digital Channels
BS000087,Shared Policy Service 0087,Commercial Banking,Tier 3,False,11106152.21,72,24.0,PCI-DSS,EVP Commercial Banking
BS000088,Enterprise Ledger Service 0088,Finance,Tier 2,False,1805718.03,24,8.0,GDPR;NIS2;SOX,EVP Finance
BS000089,Shared Pricing Service 0089,Security,Tier 0,False,96081208.9,1,0.25,GDPR;PCI-DSS,EVP Security
BS000090,Regulated Trading Service 0090,Infrastructure,Tier 2,True,11780522.99,24,8.0,DORA;NIS2;Internal Audit,EVP Infrastructure
BS000091,Core Settlement Service 0091,HR,Tier 0,False,6222211.76,1,0.25,Internal Audit,EVP HR
BS000092,Global Portal Service 0092,Security,Tier 3,False,45060874.48,72,24.0,GDPR,EVP Security
BS000093,Regulated Risk Service 0093,Infrastructure,Tier 2,False,86747034.85,24,8.0,HIPAA,EVP Infrastructure
BS000094,Global Claims Service 0094,Risk,Tier 1,False,165904593.21,4,1.0,PCI-DSS;NIS2;GDPR,EVP Risk
BS000095,Regulated Customer Service 0095,Legal,Tier 1,False,47804902.24,4,1.0,HIPAA,EVP Legal
BS000096,Global Ledger Service 0096,Wealth,Tier 1,False,33883902.85,4,1.0,PCI-DSS;DORA;SOX,EVP Wealth
BS000097,Regional Data Service 0097,Wealth,Tier 3,False,77127641.02,72,24.0,Internal Audit,EVP Wealth
BS000098,Customer Billing Service 0098,Digital Channels,Tier 2,True,113876142.21,24,8.0,HIPAA;GDPR,EVP Digital Channels
BS000099,Critical Payments Service 0099,Customer Operations,Tier 3,True,62265967.92,72,24.0,Internal Audit,EVP Customer Operations
BS000100,Core Payments Service 0100,Insurance,Tier 2,True,6352180.12,24,8.0,DORA,EVP Insurance
BS000101,Regulated Risk Service 0101,Infrastructure,Tier 2,False,22330842.19,24,8.0,Operational Resilience,EVP Infrastructure
BS000102,Customer Claims Service 0102,Payments,Tier 1,True,52234534.98,4,1.0,SOX,EVP Payments
BS000103,Core Fulfilment Service 0103,Security,Tier 3,True,2444671.54,72,24.0,GDPR;HIPAA,EVP Security
BS000104,Global Ledger Service 0104,Retail Banking,Tier 2,True,29987666.11,24,8.0,GDPR;HIPAA,EVP Retail Banking
BS000105,Shared Reporting Service 0105,Security,Tier 2,True,218062223.42,24,8.0,Operational Resilience,EVP Security
BS000106,Regional Trading Service 0106,Security,Tier 2,False,36176843.23,24,8.0,PCI-DSS,EVP Security
BS000107,Critical Trading Service 0107,Security,Tier 2,False,90490405.78,24,8.0,SOX;GDPR,EVP Security
BS000108,Digital Payments Service 0108,Digital Channels,Tier 3,False,21882684.13,72,24.0,SOX;HIPAA;Operational Resilience,EVP Digital Channels
BS000109,Enterprise Fulfilment Service 0109,Supply Chain,Tier 1,True,29717495.62,4,1.0,SOX;Internal Audit;Operational Resilience,EVP Supply Chain
BS000110,Critical Pricing Service 0110,Digital Channels,Tier 2,False,27218257.27,24,8.0,GDPR;Operational Resilience;HIPAA,EVP Digital Channels
BS000111,Global Claims Service 0111,Wealth,Tier 2,False,7294204.5,24,8.0,Internal Audit,EVP Wealth
BS000112,Shared Ledger Service 0112,Security,Tier 2,False,6198682.29,24,8.0,PCI-DSS,EVP Security
BS000113,Shared Compliance Service 0113,Manufacturing,Tier 1,False,129698317.6,4,1.0,SOX,EVP Manufacturing
BS000114,Digital Workforce Service 0114,HR,Tier 1,False,145744149.55,4,1.0,PCI-DSS;DORA,EVP HR
BS000115,Critical Ledger Service 0115,Supply Chain,Tier 1,False,10827174.82,4,1.0,HIPAA;Operational Resilience;SOX,EVP Supply Chain
BS000116,Customer Settlement Service 0116,Manufacturing,Tier 2,True,51898408.61,24,8.0,HIPAA,EVP Manufacturing
BS000117,Customer Data Service 0117,Retail Banking,Tier 2,True,16262038.56,24,8.0,HIPAA,EVP Retail Banking
BS000118,Global Warehouse Service 0118,Insurance,Tier 2,False,26004741.17,24,8.0,SOX;PCI-DSS;NIS2,EVP Insurance
BS000119,Global Risk Service 0119,Wealth,Tier 2,False,29687614.7,24,8.0,DORA;Internal Audit;Operational Resilience,EVP Wealth
BS000120,Regulated Treasury Service 0120,Commercial Banking,Tier 2,False,53424794.62,24,8.0,DORA;PCI-DSS,EVP Commercial Banking
BS000121,Customer Procurement Service 0121,HR,Tier 2,False,19599018.02,24,8.0,HIPAA,EVP HR
BS000122,Shared Customer Service 0122,Digital Channels,Tier 1,True,151935228.5,4,1.0,PCI-DSS;SOX;GDPR,EVP Digital Channels
BS000123,Regulated Procurement Service 0123,Digital Channels,Tier 2,False,25149639.58,24,8.0,PCI-DSS;GDPR;Operational Resilience,EVP Digital Channels
BS000124,Operational Identity Service 0124,Supply Chain,Tier 2,False,35555403.5,24,8.0,PCI-DSS;Internal Audit,EVP Supply Chain
BS000125,Operational Settlement Service 0125,Infrastructure,Tier 0,True,25044733.35,1,0.25,PCI-DSS,EVP Infrastructure
BS000126,Operational Claims Service 0126,Manufacturing,Tier 2,True,192291866.12,24,8.0,GDPR;Operational Resilience;SOX,EVP Manufacturing
BS000127,Global Identity Service 0127,Commercial Banking,Tier 2,False,30002984.43,24,8.0,NIS2;PCI-DSS,EVP Commercial Banking
BS000128,Enterprise Warehouse Service 0128,Security,Tier 1,False,70567752.37,4,1.0,PCI-DSS;DORA,EVP Security
BS000129,Digital Claims Service 0129,Manufacturing,Tier 2,False,3051047.73,24,8.0,Internal Audit,EVP Manufacturing
BS000130,Digital Trading Service 0130,Customer Operations,Tier 2,False,7239247.15,24,8.0,Operational Resilience;Internal Audit,EVP Customer Operations
BS000131,Shared Reporting Service 0131,Manufacturing,Tier 2,False,69836828.44,24,8.0,NIS2;HIPAA;SOX,EVP Manufacturing
BS000132,Regional Reporting Service 0132,Manufacturing,Tier 2,False,24534239.49,24,8.0,PCI-DSS;Internal Audit;SOX,EVP Manufacturing
BS000133,Critical Portal Service 0133,Commercial Banking,Tier 2,False,2180014.95,24,8.0,DORA;PCI-DSS;SOX,EVP Commercial Banking
BS000134,Shared Fulfilment Service 0134,Manufacturing,Tier 2,False,56070417.94,24,8.0,PCI-DSS;GDPR;DORA,EVP Manufacturing
BS000135,Regional Warehouse Service 0135,Security,Tier 3,False,9838746.92,72,24.0,Internal Audit;HIPAA,EVP Security
BS000136,Core Policy Service 0136,Finance,Tier 2,False,84515768.51,24,8.0,Internal Audit;DORA,EVP Finance
BS000137,Customer Procurement Service 0137,Customer Operations,Tier 2,False,16246381.31,24,8.0,SOX,EVP Customer Operations
BS000138,Critical Reporting Service 0138,Retail Banking,Tier 2,True,22413574.88,24,8.0,NIS2,EVP Retail Banking
BS000139,Critical Settlement Service 0139,Finance,Tier 2,False,65453468.03,24,8.0,PCI-DSS;GDPR,EVP Finance
BS000140,Global Claims Service 0140,HR,Tier 2,True,6667514.65,24,8.0,NIS2;HIPAA,EVP HR
BS000141,Customer Settlement Service 0141,M&A Office,Tier 3,True,6003591.98,72,24.0,DORA;GDPR;NIS2,EVP M&A Office
BS000142,Shared Procurement Service 0142,Payments,Tier 3,True,14416035.73,72,24.0,Internal Audit;SOX;Operational Resilience,EVP Payments
BS000143,Global Trading Service 0143,Wealth,Tier 3,False,44450647.18,72,24.0,GDPR,EVP Wealth
BS000144,Core Ledger Service 0144,Risk,Tier 2,False,4139290.78,24,8.0,Internal Audit;SOX,EVP Risk
BS000145,Global Fulfilment Service 0145,M&A Office,Tier 2,True,2856655.06,24,8.0,DORA;NIS2;HIPAA,EVP M&A Office
BS000146,Shared Compliance Service 0146,Infrastructure,Tier 3,False,44282185.45,72,24.0,Operational Resilience;HIPAA,EVP Infrastructure
BS000147,Enterprise Settlement Service 0147,Retail Banking,Tier 2,True,9218508.88,24,8.0,GDPR,EVP Retail Banking
BS000148,Critical Compliance Service 0148,Payments,Tier 3,True,11623638.52,72,24.0,PCI-DSS,EVP Payments
BS000149,Shared Claims Service 0149,Security,Tier 2,False,2320999.7,24,8.0,GDPR,EVP Security
BS000150,Digital Compliance Service 0150,Retail Banking,Tier 1,True,15262500.33,4,1.0,Operational Resilience,EVP Retail Banking
BS000151,Shared Treasury Service 0151,Infrastructure,Tier 1,True,31942968.57,4,1.0,GDPR;Internal Audit;SOX,EVP Infrastructure
BS000152,Shared Claims Service 0152,Wealth,Tier 3,False,49794527.35,72,24.0,SOX;PCI-DSS,EVP Wealth
BS000153,Customer Portal Service 0153,Legal,Tier 0,True,26813332.04,1,0.25,SOX;DORA,EVP Legal
BS000154,Operational Treasury Service 0154,Wealth,Tier 1,False,199415350.73,4,1.0,Internal Audit;GDPR;NIS2,EVP Wealth
BS000155,Global Compliance Service 0155,HR,Tier 2,True,8427311.62,24,8.0,HIPAA;SOX;DORA,EVP HR
BS000156,Regional Treasury Service 0156,Digital Channels,Tier 1,True,15193612.75,4,1.0,GDPR,EVP Digital Channels
BS000157,Global Risk Service 0157,Insurance,Tier 2,True,97084598.62,24,8.0,Operational Resilience,EVP Insurance
BS000158,Operational Payments Service 0158,Manufacturing,Tier 3,False,22580701.14,72,24.0,NIS2;DORA;GDPR,EVP Manufacturing
BS000159,Core Fulfilment Service 0159,Supply Chain,Tier 0,True,34124827.84,1,0.25,GDPR,EVP Supply Chain
BS000160,Core Reporting Service 0160,Security,Tier 3,True,15087144.11,72,24.0,GDPR;NIS2,EVP Security
BS000161,Regulated Reporting Service 0161,M&A Office,Tier 3,False,79270842.68,72,24.0,NIS2;HIPAA,EVP M&A Office
BS000162,Enterprise Trading Service 0162,Digital Channels,Tier 2,True,89775538.97,24,8.0,DORA,EVP Digital Channels
BS000163,Critical Risk Service 0163,Risk,Tier 1,False,13115616.37,4,1.0,Operational Resilience,EVP Risk
BS000164,Shared Ledger Service 0164,Risk,Tier 2,True,17078361.47,24,8.0,Internal Audit;HIPAA,EVP Risk
BS000165,Critical Warehouse Service 0165,HR,Tier 1,False,35568080.39,4,1.0,HIPAA;SOX,EVP HR
BS000166,Operational Payments Service 0166,Security,Tier 2,False,6047381.21,24,8.0,Operational Resilience;SOX;PCI-DSS,EVP Security
BS000167,Operational Warehouse Service 0167,Finance,Tier 3,False,16831226.55,72,24.0,PCI-DSS;Internal Audit;GDPR,EVP Finance
BS000168,Global Fulfilment Service 0168,Insurance,Tier 3,True,17999510.96,72,24.0,GDPR,EVP Insurance
BS000169,Shared Procurement Service 0169,Finance,Tier 3,False,62722477.04,72,24.0,Operational Resilience,EVP Finance
BS000170,Operational Workforce Service 0170,Retail Banking,Tier 2,False,67535742.29,24,8.0,GDPR;DORA,EVP Retail Banking
BS000171,Shared Customer Service 0171,Commercial Banking,Tier 2,True,12457951.63,24,8.0,Operational Resilience;PCI-DSS,EVP Commercial Banking
BS000172,Regulated Treasury Service 0172,Commercial Banking,Tier 2,True,14141885.32,24,8.0,GDPR;Internal Audit;HIPAA,EVP Commercial Banking
BS000173,Global Warehouse Service 0173,Security,Tier 2,True,37159184.73,24,8.0,Internal Audit;Operational Resilience;NIS2,EVP Security
BS000174,Core Identity Service 0174,Data & Analytics,Tier 2,False,9400681.14,24,8.0,SOX;NIS2;Internal Audit,EVP Data & Analytics
BS000175,Regulated Ledger Service 0175,Digital Channels,Tier 0,True,119672228.62,1,0.25,Internal Audit;NIS2,EVP Digital Channels
BS000176,Digital Settlement Service 0176,HR,Tier 1,False,29241208.69,4,1.0,GDPR;NIS2,EVP HR
BS000177,Operational Procurement Service 0177,Data & Analytics,Tier 2,False,6160457.27,24,8.0,SOX;PCI-DSS,EVP Data & Analytics
BS000178,Shared Compliance Service 0178,Insurance,Tier 1,False,11243112.55,4,1.0,PCI-DSS;DORA,EVP Insurance
BS000179,Shared Warehouse Service 0179,Legal,Tier 1,False,158228576.23,4,1.0,HIPAA;SOX;PCI-DSS,EVP Legal
